code,type,name,priority_code,year
21 00,spending agency,დიასპორის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,9,2012
22 00,spending agency,რეინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,7,2012
23 00,spending agency,საქართველოს ფინანსთა სამინისტრო,NA,2012
23 01,program,სახელმწიფო ფინანსების მართვა,5,2012
23 02,program,შემოსავლების მობილიზება და გადამხდელთა მომსახურების გაუმჯობესება,5,2012
23 03,program,ეკონომიკური დანაშაულის პრევენცია,2,2012
23 04,program,ფინანსების მართვის ელექტრონული და ანალიტიკური უზრუნველყოფა,5,2012
23 05,program,საფინანსო სექტორში დასაქმებულთა კვალიფიკაციის ამაღლება,4,2012
23 06,program,,NA,2012
24 00,spending agency,საქართველოს ეკონომიკისა და მდგრადი განვითარების სამინისტრო,NA,2012
24 01,program,ეკონომიკური პოლიტიკა და სახელმწიფო ქონების მართვა,5,2012
24 01 01,sub-program,ეკონომიკური პოლიტიკის შემუშავება განხორციელება და სახელმწიფო ქონების პრივატიზება,NA,2012
24 01 02,sub-program,სახელმწიფო საწარმოების მართვა,NA,2012
24 01 03,sub-program,სახელმწიფო ობიექტების მოვლა შენახვა,NA,2012
24 01 04,sub-program,,NA,2012
24 01 05,sub-program,,NA,2012
24 02,program,ტექნიკური და სამშენებლო სფეროს რეგულირება,3,2012
24 03,program,ინვესტიციების მოზიდვის ხელშეწყობა,NA,2012
24 04,program,სტანდარტიზაციისა და მეტროლოგიის სფეროს განვითარება,5,2012
24 05,program,აკრედიტაციის პროცესის მართვა და განვითარება,5,2012
24 06,program,ტურიზმის განვითარების ხელშეწყობა,3,2012
24 07,program,ბაქო–თბილისი–ყარსის სარკინიგზო მაგისტრალის მშენებლობისათვის მარაბდა–ახალქალაქი–კარწახის მონაკვეთზე კერძო საკუთრებაში არსებული მიწების გამოსყიდვა კომპენსაცია,3,2012
24 08,program,საქართველოს მიერ საერთაშორისო ხელშეკრულებებით ნაკისრი ვალდებულებების ფარგლებში საქართველოს აეროპორტებში საჰაერო ხომალდების აფრენა დაფრენისათვის საჭირო მომსახურების ხარჯების ანაზღაურება მათ შორის წინა წლებში წარმოქმნილი დავალიანებების დაფარვა,2,2012
24 09,program,საფრანგეთის სასაქონლო დახმარება საფრანგეთი,3,2012
24 10,program,სათხილამურო ინფრასტრუქტურის განვითარება ზემო სვანეთში (Government of the French Republic),3,2012
24 12,program,,NA,2012
24 13,program,,NA,2012
25 00,spending agency,საქართველოს რეგიონული განვითარებისა და ინფრასტრუქტურის სამინისტრო,NA,2012
25 01,program,რეგიონებისა და ინფრასტრუქტურის განვითარების პოლიტიკის შემუშავება და მართვა,3,2012
25 02,program,საგზაო ინფრასტრუქტურის გაუმჯობესების ღონისძიებები,3,2012
25 02 01,sub-program,საავტომობილო გზების პროგრამების მართვა,NA,2012
25 02 02,sub-program,გზების მშენებლობა და მოვლა შენახვა,NA,2012
25 02 03,sub-program,ჩქაროსნული ავტომაგისტრალების მშენებლობა,NA,2012
25 03,program,რეგიონული და მუნიციპალური ინფრასტრუქტურის რეაბილიტაცია,3,2012
25 04,program,წყალმომარაგების ინფრასტრუქტურის აღდგენა რეაბილიტაცია,3,2012
25 05,program,იძულებით გადაადგილებული პირების მხარდაჭერა,7,2012
25 06,program,კახეთის განვითარების პროექტი,3,2012
26 00,spending agency,საქართველოს იუსტიციის სამინისტრო,NA,2012
26 01,program,სამართალშემოქმედებისა და ქვეყნის ინტერესების სამართლებრივი მხარდაჭერის მიზნით სახელმწიფო პოლიტიკის შემუშავება და მართვა,6,2012
26 02,program,გამოძიებაზე ზედამხედველობის სახელმწიფო ბრალდების მხარდაჭერის დანაშაულის წინააღმდეგ ბრძოლისა და პრევენციის პროგრამა,2,2012
26 03,program,ეროვნული საარქივო ფონდის დაცულობის მომსახურების თანამედროვე ტექნოლოგიების დანერგვის და დოკუმენტების ხელმისაწვდომობის უზრუნველყოფა,6,2012
26 04,program,იუსტიციის სამინისტროს სისტემის თანამშრომელთა გადამზადება და სასწავლო ცენტრის განვითარება,4,2012
26 05,program,ელექტრონული მმართველობის განვითარება,6,2012
26 06,program,იუსტიციის სახლების ფარგლებში მომსახურებათა ეფექტიანი წარმოება და ყველა დაინტერესებული პირისათვის ხელმისაწვდომობა,6,2012
26 07,program,,NA,2012
26 08,program,ერთიანი სახელმწიფო საინფორმაციო ტექნოლოგიების მხარდაჭერის განვითარება,6,2012
26 09,program,ტურისტული საინვესტიციო და ინფრასტრუქტურული პროექტების კოორდინაცია და მონიტორინგი,NA,2012
26 10,program,,NA,2012
26 12,program,,NA,2012
26 14,program,,NA,2012
27 00,spending agency,საქართველოს სასჯელაღსრულების პრობაციისა და იურიდიული დახმარების საკითხთა სამინისტრო,NA,2012
27 01,program,პენიტენციური სისტემის პოლიტიკის შემუშავება და მართვა,2,2012
27 01 01,sub-program,,NA,2012
27 01 02,sub-program,,NA,2012
27 01 03,sub-program,,NA,2012
27 02,program,სისხლის სამართლის სისტემის რეფორმა,2,2012
27 02 01,sub-program,საერთაშორისო სტანდარტების შესაბამისი პენიტენციური სისტემის ჩამოყალიბება,NA,2012
27 02 02,sub-program,პრობაციის სრულყოფილი სისტემის ჩამოყალიბება,NA,2012
27 02 03,sub-program,უფასო იურიდიული დახმარება,NA,2012
27 03,program,პენიტენციური სისტემისათვის კვალიფიციური კადრების მომზადება,4,2012
27 04,program,ჯანმრთელობის დაცვის ხელშეწყობა პატიმრობისა და თავისუფლების აღკვეთის დაწესებულებებში,1,2012
28 00,spending agency,საქართველოს საგარეო საქმეთა სამინისტრო,NA,2012
28 01,program,საგარეო პოლიტიკის განხორციელება,9,2012
28 01 01,sub-program,საგარეო პოლიტიკის დაგეგმვა და მართვა,NA,2012
28 01 01 01,sub-sub-program,,NA,2012
28 01 01 02,sub-sub-program,,NA,2012
28 01 02,sub-program,საერთაშორისო ორგანიზაციებში არსებული ფინანსური ვალდებულებების უზრუნველყოფა,NA,2012
28 01 03,sub-program,საერთაშორისო ხელშეკრულებების და სხვა დოკუმენტების თარგმნა და დამოწმება,NA,2012
28 02,program,მოხელეთა კვალიფიკაციის ამაღლება საერთაშორისო ურთიერთობების დარგში,4,2012
29 00,spending agency,საქართველოს თავდაცვის სამინისტრო,NA,2012
29 01,program,შეიარაღებული ძალების მზადყოფნის შენარჩუნება და ამაღლება,2,2012
29 02,program,სამხედრო განათლების განვითარება,4,2012
29 03,program,საქართველოს თავდაცვის სამინისტროს პერსონალის ჯანმრთელობის დაცვა და სოციალური უზრუნველყოფა,1,2012
29 04,program,თავდაცვის სფეროში სამეცნიერო კვლევების ხელშეწყობა,2,2012
29 05,program,,NA,2012
29 06,program,,NA,2012
29 07,program,,NA,2012
29 08,program,,NA,2012
30 00,spending agency,საქართველოს შინაგან საქმეთა სამინისტრო,NA,2012
30 01,program,საზოგადოებრივი წესრიგისა და სახელმწიფო საზღვრის დაცვა,2,2012
30 02,program,ეროვნული საგანძურისა და დიპლომატიური წარმომადგენლობების დაცვის უსაფრთხოების დონის ამაღლება,2,2012
30 03,program,სამართალდამცავი სტრუქტურებისათვის მაღალკვალიფიციური კადრების მომზადება გადამზადება და სასწავლო პროცესის ხელშეწყობა,4,2012
30 04,program,შინაგან საქმეთა სამინისტროს სისიტემის მოსამსახურეთა ჯანმრთელობის დაცვის მომსახურებით უზრუნველყოფა,1,2012
30 05,program,სახელმწიფო მატერიალური რეზერვების შექმნა და მართვა,2,2012
30 06,program,საარქივო ფონდების დიგიტალიზაცია სამეცნიერო კვლევითი საქმიანობა და მოქალაქეთა მომსახურება,6,2012
31 00,spending agency,საქართველოს დაზვერვის სამსახური,2,2012
32 00,spending agency,საქართველოს განათლებისა და მეცნიერების სამინისტრო,NA,2012
32 01,program,განათლებისა და მეცნიერების სფეროში სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,4,2012
32 02,program,ზოგადი განათლება,4,2012
32 02 01,sub-program,ზოგადსაგანმანათლებლო სკოლების დაფინანსება,NA,2012
32 02 02,sub-program,მასწავლებელთა პროფესიული განვითარების ხელშეწყობა,NA,2012
32 02 03,sub-program,უსაფრთხო საგანმანათლებლო გარემოს უზრუნველყოფა,NA,2012
32 02 04,sub-program,განსაკუთრებით ნიჭიერი ახალგაზრდების წახალისება,NA,2012
32 02 05,sub-program,განსაკუთრებული საჭიროების მქონე ბავშვების საგანმანათლებლო და საცხოვრებელი პირობებით უზრუნველყოფა და ინკლუზიური განათლების განვითარება,NA,2012
32 02 06,sub-program,მოსწავლეების სახელმძღვანელოებით უზრუნველყოფა,NA,2012
32 02 07,sub-program,ინგლისური ენის გაძლიერება,NA,2012
32 02 08,sub-program,ოკუპირებული რეგიონების პედაგოგებისა და ადმინისტრაციულ ტექნიკური პერსონალის ფინანსური დახმარება,NA,2012
32 02 09,sub-program,სასჯელაღსრულების დაწესებულებებში განათლების მიღების ხელმისაწვდომობის პროგრამა,NA,2012
32 02 10,sub-program,მოსწავლე ახალგაზრდობის სამოქალაქო აქტიურობის განვითარება,NA,2012
32 02 11,sub-program,,NA,2012
32 02 12,sub-program,,NA,2012
32 02 13,sub-program,,NA,2012
32 02 14,sub-program,,NA,2012
32 02 15,sub-program,,NA,2012
32 03,program,პროფესიული განათლება,4,2012
32 03 01,sub-program,პროფესიული განათლების ხელმისაწვდომობის და ხარისხის გაუმჯობესება,NA,2012
32 03 02,sub-program,ეროვნული უმცირესობების პროფესიული გადამზადება,NA,2012
32 03 03,sub-program,განათლების მართვის საინფორმაციო სისტემა,NA,2012
32 04,program,უმაღლესი საგანმანათლებლო და სამეცნიერო კვლევების პროგრამა,4,2012
32 04 01,sub-program,უმაღლესი საგანმანათლებლო დაწესებულებების ხელშეწყობა,NA,2012
32 04 02,sub-program,გამოცდების ორგანიზება,NA,2012
32 04 02 01,sub-sub-program,,NA,2012
32 04 02 02,sub-sub-program,,NA,2012
32 04 02 03,sub-sub-program,,NA,2012
32 04 02 04,sub-sub-program,,NA,2012
32 04 02 05,sub-sub-program,,NA,2012
32 04 02 05 01,sub-sub-sub-program,,NA,2012
32 04 03,sub-program,მეცნიერებისა და სამეცნიერო კვლევების ხელშეწყობა,NA,2012
32 04 03 01,sub-sub-program,სამეცნიერო გრანტების გაცემისა და სამეცნიერო კვლევების ხელშეწყობა,NA,2012
32 04 03 02,sub-sub-program,სამეცნიერო დაწესებულებების პროგრამები,NA,2012
32 04 03 03,sub-sub-program,მეცნიერთა ხელშეწყობა,NA,2012
32 04 03 04,sub-sub-program,სოფლის მეურნეობის დარგში მეცნიერთა ხელშეწყობა,NA,2012
32 04 03 05,sub-sub-program,,NA,2012
32 04 04,sub-program,სახელმწიფო სასწავლო სამაგისტრო გრანტები და ახალგაზრდების წახალისება,NA,2012
32 04 05,sub-program,კონსტიტუციონალიზმის კვლევა,NA,2012
32 05,program,საგანმანათლებლო დაწესებულებათა ინფრასტრუქტურის განვითარება,4,2012
32 05 01,sub-program,ზოგადსაგანმანათლებლო დაწესებულებებისა და მოსწავლეების ინფორმაციულ საკომუნიკაციო ტექნოლოგიებით უზრუნველყოფა,NA,2012
32 05 02,sub-program,საგანმანათლებლო დაწესებულებათა ინფრასტრუქტურის რეაბილიტაცია,NA,2012
32 05 02 01,sub-sub-program,,NA,2012
32 05 02 02,sub-sub-program,,NA,2012
32 05 02 03,sub-sub-program,,NA,2012
32 05 02 04,sub-sub-program,,NA,2012
32 05 03,sub-program,,NA,2012
32 05 04,sub-program,,NA,2012
32 05 05,sub-program,,NA,2012
32 06,program,,NA,2012
32 06 01,sub-program,,NA,2012
32 06 02,sub-program,,NA,2012
32 06 02 01,sub-sub-program,,NA,2012
32 06 02 02,sub-sub-program,,NA,2012
32 06 02 03,sub-sub-program,,NA,2012
32 06 02 04,sub-sub-program,,NA,2012
32 07,program,,NA,2012
32 07 01,sub-program,,NA,2012
32 07 02,sub-program,,NA,2012
32 07 02 01,sub-sub-program,,NA,2012
32 07 02 02,sub-sub-program,,NA,2012
32 07 02 03,sub-sub-program,,NA,2012
32 07 02 04,sub-sub-program,,NA,2012
32 07 02 05,sub-sub-program,,NA,2012
32 08,program,,NA,2012
32 09,program,,NA,2012
32 10,program,,NA,2012
33 00,spending agency,საქართველოს კულტურისა და ძეგლთა დაცვის სამინისტრო,NA,2012
33 01,program,საქართველოს კულტურისა და ძეგლთა დაცვის სფეროში პოლიტიკის შემუშავება და პროგრამების მართვა,8,2012
33 02,program,ხელოვნების დარგების განვითარების ხელშეწყობა და პოპულარიზაცია საქართველოში და მისი ფარგლებს გარეთ,8,2012
33 02 01,sub-program,ხელოვნების განვითარების ღონისძიებები,NA,2012
33 02 02,sub-program,საერთაშორისო კულტურული ურთიერთობების მხარდაჭერის ღონისძიებები,NA,2012
33 02 03,sub-program,სახალხო არტისტების სახალხო მხატვრებისა და ლაურეატების სტიპენდიები,NA,2012
33 03,program,სახელოვნებო განათლების სისტემის ხელშეწყობა,4,2012
33 04,program,კულტურული მემკვიდრეობის დაცვა და სამუზეუმო სისტემის სრულყოფა,8,2012
33 04 01,sub-program,მუზეუმების ხელშეწყობა,NA,2012
33 04 02,sub-program,კულტურული მემკვიდრეობის დაცვა,NA,2012
33 05,program,,NA,2012
33 05 01,sub-program,,NA,2012
33 05 02,sub-program,,NA,2012
34 00,spending agency,საქართველოს ოკუპირებული ტერიტორიებიდან იძულებით გადაადგილებულ პირთა განსახლებისა და ლტოლვილთა სამინისტრო,NA,2012
34 01,program,იძულებით გადაადგილებულ პირთა და მიგრანტთა ხელშეწყობის მიზნით სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,7,2012
34 02,program,ორგანიზებულად ჩასახლების ადგილებში დევნილთა შენახვა და მათი საცხოვრებელი პირობების გაუმჯობესება,7,2012
34 03,program,,NA,2012
35 00,spending agency,საქართველოს შრომის ჯანმრთელობისა და სოციალური დაცვის სამინისტრო,NA,2012
35 01,program,შრომის ჯანმრთელობისა და სოციალური დაცვის პროგრამების მართვა,1,2012
35 01 01,sub-program,შრომის ჯანმრთელობისა და სოციალური დაცვის სფეროში პოლიტიკის შემუშავება და მართვა,NA,2012
35 01 02,sub-program,სამედიცინო საქმიანობის რეგულირების პროგრამა,NA,2012
35 01 03,sub-program,დაავადებათა კონტროლისა და ეპიდემიოლოგიური უსაფრთხოების პროგრამის მართვა,NA,2012
35 01 04,sub-program,სოციალური და ჯანმრთელობის დაცვის პროგრამების მართვა,NA,2012
35 01 05,sub-program,სახელმწიფო ზრუნვის პროგრამა,NA,2012
35 01 06,sub-program,ადამიანით ვაჭრობის ტრეფიკინგის მსხვერპლთა დაცვა და დახმარება,NA,2012
35 01 07,sub-program,,NA,2012
35 01 08,sub-program,,NA,2012
35 01 12,sub-program,ნარკომანიით დაავადებულ პირთა რეაბილიტაციის ხელშეწყობის პროგრამის მართვა,NA,2012
35 02,program,სოციალური დაცვა და საპენსიო უზრუნველყოფა,1,2012
35 02 01,sub-program,საპენსიო უზრუნველყოფა,NA,2012
35 02 02,sub-program,სოციალური დახმარებები,NA,2012
35 02 03,sub-program,სოციალური რეაბილიტაცია და ბავშვზე ზრუნვა,NA,2012
35 02 04,sub-program,,NA,2012
35 02 05,sub-program,მოსახლეობის ელექტროენერგიის ვაუჩერით უზრუნველყოფა,NA,2012
35 03,program,ჯანმრთელობის დაცვის პროგრამა,1,2012
35 03 01,sub-program,ჯანმრთელობის დაზღვევა,NA,2012
35 03 02,sub-program,საზოგადოებრივი ჯანმრთელობის დაცვა,NA,2012
35 03 02 01,sub-sub-program,დაავადებათა ადრეული გამოვლენა და სკრინინგი,NA,2012
35 03 02 02,sub-sub-program,იმუნიზაცია,NA,2012
35 03 02 03,sub-sub-program,ეპიდზედამხედველობის პროგრამა,NA,2012
35 03 02 04,sub-sub-program,უსაფრთხო სისხლი,NA,2012
35 03 02 05,sub-sub-program,პროფესიულ დაავადებათა პრევენცია,NA,2012
35 03 02 06,sub-sub-program,პირველადი ჯანდაცვის რეფორმის მხარდაჭერის პროექტი (EC),NA,2012
35 03 02 07,sub-sub-program,ჯანდაცვის სექტორის განვითარების პროექტი (WB),NA,2012
35 03 02 08,sub-sub-program,,NA,2012
35 03 02 09,sub-sub-program,,NA,2012
35 03 02 10,sub-sub-program,,NA,2012
35 03 02 11,sub-sub-program,,NA,2012
35 03 02 12,sub-sub-program,,NA,2012
35 03 03,sub-program,მოსახლეობისათვის სამედიცინო მომსახურების მიწოდება პრიორიტეტულ სფეროებში,NA,2012
35 03 03 01,sub-sub-program,ფსიქიკური ჯანმრთელობა,NA,2012
35 03 03 02,sub-sub-program,ინფექციური დაავადებების მართვა,NA,2012
35 03 03 03,sub-sub-program,ტუბერკულოზის მართვა,NA,2012
35 03 03 04,sub-sub-program,აივ ინფექცია შიდსი,NA,2012
35 03 03 05,sub-sub-program,დედათა და ბავშვთა ჯანმრთელობა,NA,2012
35 03 03 06,sub-sub-program,დიაბეტის მართვა,NA,2012
35 03 03 06 02,sub-sub-sub-program,,NA,2012
35 03 03 07,sub-sub-program,ნარკომანია,NA,2012
35 03 03 08,sub-sub-program,ონკოლოგიურ დაავადებათა მართვა,NA,2012
35 03 03 09,sub-sub-program,დიალიზი და თირკმლის ტრანსპლანტაცია,NA,2012
35 03 03 10,sub-sub-program,გულის ქირურგია,NA,2012
35 03 03 11,sub-sub-program,ინკურაბელურ პაციენტთა პალიატიური მზრუნველობა,NA,2012
35 03 03 12,sub-sub-program,იშვიათი დაავადებების მქონე და მუდმივ ჩანაცვლებით მკურნალობას დაქვემდებარებულ პაციენტთა მკურნალობა,NA,2012
35 03 03 13,sub-sub-program,სასწრაფო გადაუდებელი დახმარება და სამედიცინო ტრანსპორტირება,NA,2012
35 03 03 14,sub-sub-program,სოფლის ექიმი,NA,2012
35 03 03 15,sub-sub-program,რეფერალური მომსახურება,NA,2012
35 03 03 15 01,sub-sub-sub-program,რეფერალური მომსახურება,NA,2012
35 03 03 16,sub-sub-program,ანტირაბიული დახმარება,NA,2012
35 03 03 17,sub-sub-program,წლამდე ასაკის ბავშვთა გადაუდებელი და სტაციონარული დახმარება,NA,2012
35 03 03 18,sub-sub-program,ურგენტული მომსახურება,NA,2012
35 03 03 19,sub-sub-program,ზოგადი ამბულატორია,NA,2012
35 03 03 20,sub-sub-program,ვეტერანთა სამედიცინო მომსახურება,NA,2012
35 03 03 21,sub-sub-program,სამხედრო ძალებში გასაწვევ მოქალაქეთა სამედიცინო შემოწმება,NA,2012
35 03 04,sub-program,დიპლომისშემდგომი სამედიცინო განათლება,NA,2012
35 03 04 01,sub-sub-program,,NA,2012
35 03 04 02,sub-sub-program,,NA,2012
35 03 04 03,sub-sub-program,,NA,2012
35 03 04 04,sub-sub-program,,NA,2012
35 03 04 05,sub-sub-program,,NA,2012
35 03 04 06,sub-sub-program,,NA,2012
35 03 04 07,sub-sub-program,,NA,2012
35 03 04 08,sub-sub-program,,NA,2012
35 03 04 09,sub-sub-program,,NA,2012
35 03 04 10,sub-sub-program,,NA,2012
35 03 05,sub-program,პროგრამების შესაძლო დეფიციტის დაფინანსება,NA,2012
35 03 06,sub-program,,NA,2012
35 03 07,sub-program,,NA,2012
35 04,program,სამედიცინო დაწესებულებათა რეაბილიტაცია და აღჭურვა,1,2012
35 05,program,,NA,2012
35 05 01,sub-program,,NA,2012
35 06,program,,NA,2012
36 00,spending agency,საქართველოს ენერგეტიკისა და ბუნებრივი რესურსების სამინისტრო,NA,2012
36 01,program,ენერგეტიკისა და ბუნებრივი რესურსების სფეროში პოლიტიკის შემუშავება და მართვა,12,2012
36 01 01,sub-program,,NA,2012
36 01 01 01,sub-sub-program,,NA,2012
36 01 01 02,sub-sub-program,,NA,2012
36 01 01 03,sub-sub-program,,NA,2012
36 01 02,sub-program,,NA,2012
36 01 03,sub-program,,NA,2012
36 02,program,ენერგეტიკული ინფრასტრუქტურის მშენებლობა რეაბილიტაცია,3,2012
36 02 01,sub-program,ენგურის ჰიდროელექტროსადგურის რეაბილიტაციის პროექტი (EBRD),NA,2012
36 02 02,sub-program,"ვარდნილისა და ენგურის ჰიდროელექტროსადგურების რეაბილიტაციის პროექტი (EIB, EC)",NA,2012
36 02 03,sub-program,სასისტემო მნიშვნელობის ელექტროგადამცემი ქსელის განვითარება,NA,2012
36 02 03 01,sub-sub-program,"შავი ზღვის ელექტროგადამცემი ქსელის პროექტი (KfW, EIB, EBRD)",NA,2012
36 02 04,sub-program,ენერგეტიკის ინფრასტრუქტურის განვითარება (USAID),NA,2012
36 03,program,ყაზბეგის მუნიციპალიტეტისა და დუშეთის მუნიციპალიტეტის მაღალმთიანი სოფლების მოსახლეობისათვის მიწოდებული ბუნებრივი აირის ღირებულების ანაზღაურების ღონისძიება,12,2012
36 03 01,sub-program,,NA,2012
36 03 02,sub-program,,NA,2012
36 03 02 01,sub-sub-program,,NA,2012
36 03 02 02,sub-sub-program,,NA,2012
36 03 03,sub-program,,NA,2012
36 03 03 01,sub-sub-program,,NA,2012
36 03 03 02,sub-sub-program,,NA,2012
36 03 04,sub-program,,NA,2012
36 03 06,sub-program,,NA,2012
36 04,program,,NA,2012
36 04 01,sub-program,,NA,2012
36 04 02,sub-program,,NA,2012
36 04 03,sub-program,,NA,2012
36 04 04,sub-program,,NA,2012
36 06,program,სამინისტროს სხვა პროგრამები,12,2012
37 00,spending agency,საქართველოს სოფლის მეურნეობის სამინისტრო,NA,2012
37 01,program,სოფლის მეურნეობის განვითარების პროგრამა,10,2012
37 01 01,sub-program,სოფლის მეურნეობის განვითარების პოლიტიკის შემუშავება და მართვა,NA,2012
37 01 02,sub-program,სასოფლო სამეურნეო ტექნიკის განახლება,NA,2012
37 01 03,sub-program,სასოფლო სამეურნეო წარმოების ინტენსიფიკაცია,NA,2012
37 01 04,sub-program,სამელიორაციო სისტემების მოდერნიზაცია,NA,2012
37 01 05,sub-program,ქართული აგროსასურსათო პროდუქციის ღვინისა და სამზარეულოს პოპულარიზაცია,NA,2012
37 01 06,sub-program,თანამედროვე ტექნოლოგიების პოპულარიზაცია,NA,2012
37 01 07,sub-program,რეგიონებში სასოფლო სამეურნეო დანიშნულების სავარგულების ათვისების ხელშეწყობა,NA,2012
37 01 08,sub-program,აგროსექტორის განვითარება ხელშეწყობა,NA,2012
37 01 09,sub-program,,NA,2012
37 01 10,sub-program,,NA,2012
37 01 11,sub-program,,NA,2012
37 01 12,sub-program,,NA,2012
37 01 13,sub-program,,NA,2012
37 01 14,sub-program,,NA,2012
37 01 15,sub-program,,NA,2012
37 01 16,sub-program,,NA,2012
37 01 17,sub-program,,NA,2012
37 01 19,sub-program,,NA,2012
37 01 20,sub-program,,NA,2012
37 02,program,სურსათის უვნებლობა მცენარეთა დაცვა და ეპიზოოტიური კეთილსაიმედოობა,10,2012
37 03,program,მევენახეობა მეღვინეობის განვითარება,10,2012
37 04,program,,NA,2012
37 05,program,,NA,2012
37 05 01,sub-program,,NA,2012
37 05 02,sub-program,,NA,2012
37 05 03,sub-program,,NA,2012
37 05 04,sub-program,,NA,2012
37 05 05,sub-program,,NA,2012
37 05 07,sub-program,,NA,2012
37 06,program,,NA,2012
37 07,program,,NA,2012
37 07 01,sub-program,,NA,2012
37 07 02,sub-program,,NA,2012
37 07 03,sub-program,,NA,2012
37 07 04,sub-program,,NA,2012
38 00,spending agency,საქართველოს გარემოს დაცვის სამინისტრო,NA,2012
